"Star_key":"S_NAME":"distance":"EFFECTIVE TEMPERATURE":"Relative Mass":"Star Radius":"RELATIVE LUMINOSITY":"Type Of Star"
372:"Bossangoa":782,67:5216:1:1,07:0,99:"G5V"
1049:"Handa":308,644:2926:0,4:0,54:0,02:"M5V"
817:"Erin":540,152:3196:0,2:0,51:0,02:"M2V"
1188:"Imbros":34,14:3418:0,1:0,12:0,06:"M1V"
2943:"Glory":1838,239:2697:0,4:0,61:0,05:"M5V"
713:"Diefenbaker":394,875:5417:0,8:1,14:1,17:"G5V"
2742:"Weiz":305,921:4454:0,7:0,87:0,4:"K2V"
1257:"Johnsondale":162,424:3740:0,6:0,84:0,59:"K3V"
2555:"Tishomingo":318,983:2788:0,4:0,5:0,05:"M5V"
2453:"Sylvan":423,158:2488:0,4:0,29:0,01:"M5V"
1961:"Outer Volta":353,846:2599:0,1:0,66:0,07:"M2V"
570:"Cohagen":488,414:4267:0,5:0,72:0,32:"K5V"
410:"Bryant":18,672:4368:0,6:0,86:0,16:"K2V"
1971:"Palladaine":287,995:3036:0,4:0,21:0,07:"M3V"
2667:"Vega":106,677:2629:0,1:0,69:0,04:"M7V"
1359:"Kirchbach":384,767:2491:0,3:0,18:0,04:"M3V"
2433:"Summer":51,54:2775:0,1:0,52:0,01:"M1V"
480:"Carmichael":402,052:2958:0,2:0,29:0,04:"M4V"
2064:"Pressville":645,184:4201:0,5:0,79:0,11:"K4V"
1210:"Iron Land":454,214:2992:0,4:0,15:0,01:"M3V"
629:"Cryfder":517,129:4355:0,6:0,78:0,51:"K2V"
929:"Gambier":386,476:3165:0,2:0,38:0,03:"M2V"
1129:"Home":323,295:2619:0,2:0,35:0,07:"M3V"
2411:"Sterope":484,401:2473:0,2:0,56:0,05:"M0V"
876:"Firgrove":389,622:2514:0,1:0,47:0,06:"M7V"
1357:"Kinkaid":457,257:3232:0,2:0,38:0,05:"M1V"
184:"Artru":498,275:3147:0,2:0,16:0,08:"M2V"
2073:"Project Libra Umbrella":545,104:3001:0,3:0,14:0,04:"M2V"
1402:"Kossandra's Memory":528,467:2989:0,2:0,08:0,07:"M0V"
1111:"Hillerod":191,249:2483:0,2:0,21:0,01:"M5V"
2779:"Wrociaw":320,163:2525:0,4:0,67:0,05:"M5V"
1645:"McKenna":147,988:3715:0,7:0,87:0,17:"K3V"
1221:"Itrom":452,235:4168:0,5:0,75:0,27:"K2V"
2531:"Thestria":301,629:4175:0,8:0,83:0,54:"K5V"
1807:"Nekkar":134,329:4317:0,7:0,93:0,27:"K3V"
1126:"Holmsbu":445,66:3873:0,6:0,84:0,09:"K3V"
478:"Carmelita":786,3:2477:0,2:0,43:0,04:"M3V"
1481:"Lesalles":165,267:2649:0,1:0,25:0,06:"M2V"
2899:"Erod's Escape":696,99:2884:0,2:0,39:0,05:"M5V"
2744:"Weldry":423,749:2514:0,2:0,15:NA:"M8V"
2298:"Shaunavon":360,987:4134:0,7:0,88:0,47:"K5V"
1264:"Jouques":238,909:5595:0,9:1,09:1,3:"G2V"
1940:"Oltepesi":374,604:2535:0,4:0,4:0,06:"M7V"
1492:"Lindenmarle":436,198:4649:0,6:0,75:0,18:"K3V"
1122:"Hoff":266,707:2941:0,2:0,3:0,07:"M4V"
768:"Echo":468,229:3153:0,1:0,08:0,03:"M2V"
2387:"Spittal":349,575:2494:0,2:0,55:0,07:"M7V"
415:"Budingen":415,219:2557:0,2:0,69:0,06:"M2V"
3043:"Waystation 531":1540,049:4236:0,5:0,85:0,58:"K3V"
777:"Eilenburg":221,087:3222:0,3:0,43:0,04:"M0V"
1177:"Iknogoro":253,443:3746:0,7:0,92:0,2:"K6V"
294:"Bella":263,04:2899:0,4:0,25:0,06:"M2V"
2476:"Tamsalu":234,775:3006:0,3:0,69:0,06:"M1V"
554:"Christiania":366,425:2834:0,2:0,41:0,02:"M2V"
2970:"Zara":1800,775:2574:0,3:0,62:0,07:"M1V"
1341:"Khi":245,709:2766:0,1:0,36:0,07:"M5V"
1913:"Nusakan":55,526:2581:0,4:0,39:0,03:"M5V"
3171:"Holdout":1279,745:NA:1:1,07:0,78:"G2V"
2761:"Windsor":390,421:3814:0,6:0,71:0,41:"K3V"
2274:"Sekulmun":305,878:3895:0,7:0,8:NA:"K6V"
1466:"Laureles":224,82:3103:0,4:0,16:0,07:"M3V"
2497:"Tatsuno":256,6:2875:0,1:0,08:0,03:"M2V"
884:"Flintoft":384,391:3337:0,2:0,15:0,07:"M2V"
264:"Baruun Urt":260,121:3243:0,1:0,14:0,06:"M3V"
1657:"Megiddo":613,31:4071:0,6:0,77:0,14:"K0V"
2466:"Takata":474,361:2491:0,1:0,47:0,01:"M8V"
1830:"New Ganymede":425,894:3933:0,6:0,88:0,45:"K5V"
1146:"Huaide":473,488:2952:0,3:0,55:0,01:"M2V"
790:"Elissa":484,659:2799:0,1:0,14:0,06:"M5V"
2682:"Vicente":454,397:3065:0,3:NA:0,03:"M2V"
1560:"Madras":332,806:4679:0,6:0,79:0,36:"K3V"
1810:"Nestor":172,538:3301:0,1:NA:0,05:"M1V"
3157:"Nuncavoy":448,099:2424:0,4:0,32:0,02:"M1V"
1717:"Miquelon":414,989:4234:0,5:0,86:0,21:"K2V"
529:"Chebanse":247,557:2454:0,1:0,65:0,02:"M5V"
436:"Caldarium":502,778:5459:1:1,02:NA:"G5V"
1443:"Laconis":421,364:2499:0,2:0,63:0,08:"M6V"
1602:"Marathon":317,006:2798:0,2:0,42:0,07:"M3V"
1267:"Jubka":398,759:5544:1:1,13:1,24:"G5V"
1910:"Numki":206,969:2641:0,1:0,35:0,04:"M4V"
3005:"Stralsund":983,017:2756:0,3:0,4:NA:"M2V"
1760:"Morningside":171,72:3082:0,4:0,36:0,02:"M4V"
488:"Cascade":228,139:4598:0,5:0,85:0,57:"K1V"
1342:"Khon Kaen":387,163:2971:0,1:0,07:0,01:"M0V"
1800:"Nashira":58,302:3746:0,5:0,87:0,21:"K6V"
2125:"Recife":396,695:2657:0,1:0,27:0,02:"M1V"
2005:"Pell":335,266:3354:0,2:0,48:0,02:"M0V"
2393:"St. Loris":258,164:2834:0,4:0,1:0,02:"M3V"
2694:"Virentofta":446,876:3982:0,8:0,79:0,12:"K7V"
2040:"Pliska":81,47:2915:0,3:0,42:0,02:"M5V"
1340:"Khartoum":427,96:3842:0,7:0,95:0,3:"K7V"
1653:"Medzev":259,667:NA:0,5:0,9:0,1:"K5V"
2078:"Prydain":365,823:4866:0,7:0,82:0,46:"K2V"
1077:"Hednesford":431,594:2658:0,4:0,1:0,02:"M7V"
1864:"Nexus Ri":466,121:5482:0,8:1,12:1,12:"G2V"
2905:"Hellespont":563,994:NA:0,1:0,11:0,02:"M0V"
426:"Cabanatuan":535,102:2753:0,3:0,5:0,01:"M3V"
2042:"Pobeda":309,392:2571:0,4:0,68:0,05:"M7V"
662:"Daol":365,981:2412:0,3:0,38:0,06:"M3V"
1989:"Parma":363,588:2506:0,4:NA:0,07:"M3V"
2538:"Thule":464,575:2899:0,2:0,39:0,01:"M5V"
275:"Battaraigi":532,323:3936:0,8:0,71:0,45:"K7V"
801:"Emris":173,88:3370:0,1:0,51:0,03:"M2V"
2553:"Tiruchchirappalli":463,505:4254:0,5:NA:0,31:"K5V"
2233:"Saonara":357,058:2473:0,4:0,66:0,04:"M0V"
1476:"Leiston":292,421:2472:0,1:0,36:0,02:"M1V"
2768:"Wokha":770,124:2639:0,2:0,09:0,04:"M3V"
139:"Anjin Muerto":591,69:NA:1:0,98:0,85:"G5V"
1054:"Hardcore":513,072:3149:0,4:0,23:0,04:"M3V"
150:"Anywhere":466,992:2451:0,4:0,08:0,07:"M8V"
1236:"Jardine":220,671:NA:0,1:0,64:0,04:"M0V"
164:"Arcadia":268,762:2435:0,3:0,08:0,08:"M3V"
2759:"Wiltshire":461,938:2818:0,1:0,61:0,03:"M2V"
308:"Bergtatt":392,916:2520:0,1:0,46:NA:"M4V"
1877:"Nirasaki":39,444:2695:0,1:0,45:0,02:"M5V"
56:"Alchiba":67,755:2629:0,3:0,47:0,03:"M0V"
82:"Almach":118,119:3237:0,4:0,53:0,04:"M1V"
1038:"Halgrim":644,72:3055:0,3:0,64:0,06:"M3V"
274:"Batavia":208,581:2446:0,2:0,32:0,03:"M5V"
382:"Branzoll":271,234:4252:0,5:0,93:0,25:"K3V"
1939:"Oliver":32,57:5607:1:1,1:0,6:"G4V"
2825:"Zdice":312,902:5285:0,8:0,98:1,43:"G3V"
358:"Bogrib":336,049:3755:0,8:0,9:0,56:"K7V"
3013:"Idrmach":607,78:2498:0,3:0,66:0,06:"M8V"
296:"Bellatrix":355,774:2831:0,1:0,49:0,01:"M4V"
2707:"Vulture's Nest":481,93:4699:0,5:0,84:0,46:"K2V"
1710:"Milvano":463,55:NA:0,3:0,44:0,06:"M0V"
352:"Boardwalk":198,058:2420:0,3:0,27:0,06:"M0V"
2998:"Köln":1009,557:2777:0,2:0,45:0,01:"M5V"
1420:"Kujari":266,335:2446:0,4:0,09:0,04:"M5V"
2301:"Shensi":107,011:4516:0,6:0,7:0,4:"K0V"
1105:"Hexare":235,219:2875:0,4:0,51:0,03:"M2V"
563:"Claxton":264,639:2793:0,4:0,25:0,03:"M3V"
143:"Annunziata":431,715:3856:0,5:0,87:0,39:"K3V"
287:"Beid":273,758:2934:0,3:NA:0,07:"M3V"
871:"Findal":584,066:2456:0,4:0,68:0,01:"M6V"
866:"Fianna":142,939:3046:0,1:0,54:0,04:"M0V"
2522:"Teylingen":434,567:2489:0,2:0,54:0,06:"M3V"
2902:"Fronc":517,355:3882:0,8:0,94:0,39:"K6V"
298:"Belluevue":79,895:2507:0,4:0,43:0,03:"M8V"
1735:"Mogabouti":530,728:4173:0,7:0,75:0,54:"K3V"
2473:"Tallmadge":279,21:2462:0,3:0,57:0,08:"M8V"
473:"Cardff":377,921:3056:0,1:0,37:0,05:"M3V"
2184:"Royal Foxx":441,428:2528:0,3:0,37:0,03:"M8V"
1285:"Kamarod":499,804:5441:1:1,07:1,3:"G4V"
745:"Drusibacken":174,619:2573:0,1:0,36:0,03:"M5V"
1491:"Linden":782,786:5618:1:1,01:1,01:"G2V"
1854:"New Syrtis":376,217:4795:0,6:0,9:0,09:"K2V"
518:"Chandler":212,535:2519:0,4:0,41:0,04:"M3V"
146:"Antares":322,867:2558:0,4:0,45:0,08:"M1V"
2133:"Reisterstown":349,102:3728:0,5:0,95:0,46:"K6V"
197:"Asuncion":101,771:3527:0,1:0,45:0,01:"M0V"
556:"Chupadero":442,645:5274:0,9:1,03:1,06:"G2V"
2562:"Toland":446,647:3007:0,3:0,28:0,01:"M3V"
1078:"Hegel":271,031:4439:0,5:0,8:0,58:"K2V"
3030:"St. Jean":1163,98:2930:0,3:0,56:0,04:"M4V"
767:"Ebro":578,462:2514:0,2:0,42:0,07:"M2V"
1515:"Loparri":542,601:4655:0,5:0,92:0,28:"K2V"
3029:"Santiago":1000,343:2742:0,3:0,39:0,04:"M2V"
1144:"Hrafn":660,835:2972:0,4:0,58:0,03:"M5V"
1212:"Isabela":363,563:4051:0,5:0,76:0,58:"K3V"
870:"Fincastle":361,983:3748:0,7:0,73:0,28:"K5V"
2129:"Regulus":235,654:2674:0,4:0,52:0,06:"M0V"
386:"Breed":199,413:5486:1:1,12:1,32:"G5V"
2865:"Islington":532,028:2732:0,3:0,08:0,02:"M3V"
3143:"Polybius":465,266:2474:0,2:0,3:0,01:"M5V"
1332:"Kern":404,238:4157:0,6:0,76:0,48:"K6V"
2570:"Toten":575,543:3165:0,1:0,17:0,03:"M2V"
2395:"Staffin":207,096:5490:0,8:0,96:0,97:"G2V"
2944:"Grant's Station":1836,562:2702:0,4:0,19:0,06:"M5V"
2527:"Thazi":796,344:4360:0,7:0,83:0,4:"K3V"
759:"Duxfort":405,632:2596:0,4:0,53:0,06:"M2V"
1977:"Pangkalan":441,984:4254:0,5:0,88:0,21:"K2V"
2524:"Thamel":415,771:2606:0,1:0,28:0,02:"M5V"
1549:"Ma'anshan":475,076:3238:0,4:0,64:0,05:"M0V"
284:"Bedeque":146,644:2690:0,4:0,5:0,06:"M4V"
1927:"Ohrensen":122,845:4311:0,6:0,78:0,27:"K5V"
2786:"Xhosa":174,559:2422:0,3:0,12:0,06:"M7V"
194:"Ashley":349,468:2448:0,2:0,21:0,05:"M8V"
2631:"Untran":423,854:3059:0,3:0,28:0,01:"M3V"
813:"Epsilon Eridani":28,075:2418:0,1:0,29:0,07:"M4V"
2291:"Shaobuon":416,492:4386:0,6:0,77:0,59:"K3V"
830:"Eustatius":499,237:3522:0,1:0,46:0,02:"M0V"
2165:"Rockland":445,231:2799:0,4:0,24:0,05:"M2V"
710:"Dickinson":184,937:2698:0,2:0,54:0,05:"M3V"
459:"Canal":486,867:NA:0,7:0,72:0,12:"K2V"
1832:"New Hati":697,451:2461:0,2:0,16:0,04:"M5V"
502:"Celebes":140,327:4177:0,7:0,8:0,19:"K3V"
2805:"Yufu":260,864:2591:0,4:0,33:0,03:"M5V"
1079:"Heidelburg":590,922:4411:0,7:0,91:NA:"K0V"
816:"Erewhon":483,043:2782:0,3:0,11:0,06:"M5V"
1787:"Nahoni":316,006:2977:0,4:0,59:0,05:"M4V"
12:"Abruzzi":339,018:2504:0,1:0,43:0,07:"M5V"
3066:"Kapoeta":1029,174:2654:0,4:0,19:0,05:"M4V"
202:"Atreus":251,654:2864:0,3:0,55:0,05:"M4V"
1018:"Gulkana":395,82:2748:0,2:0,07:0,04:"M5V"
1598:"Mao":579,089:5521:1:1:1,4:"G5V"
860:"Ferihegy":422,235:2689:0,3:0,53:0,03:"M5V"
1674:"Menkalinan":70,618:4334:0,7:0,72:0,5:"K2V"
931:"Gamlestolen":610,047:4385:0,6:0,74:0,21:"K2V"
1325:"Kendall":421,178:4511:0,7:0,83:0,16:"K2V"
649:"Dalcour":397,546:2722:0,2:0,48:0,07:"M2V"
2532:"Thibodaux":576,214:2528:0,1:0,28:0,01:"M5V"
2190:"Ruschegg":365,791:3044:0,2:0,63:0,03:"M2V"
3105:"Aurigae":1503,317:3184:0,4:0,52:0,04:"M2V"
2523:"Teyvareb":413,858:2457:0,2:NA:NA:"M2V"
1689:"Merton":411,152:4491:0,6:0,86:0,51:"K2V"
1108:"Hickok":432,215:5370:0,9:1,11:0,83:"G4V"
1311:"Kautokeino":394,552:2847:0,1:0,41:0,08:"M5V"
1100:"Herotitus":434,101:2504:0,1:0,52:0,08:"M2V"
2986:"Bruges":1185,39:2540:0,2:0,66:0,06:"M5V"
1766:"Moultrie":501,652:5497:0,9:1,13:0,85:"G2V"
22:"Acrux":354,376:2997:0,3:0,19:0,04:"M2V"
464:"Capac":315,269:3876:0,5:0,92:0,52:"K2V"
2120:"Rapla":419,917:5261:1:1,08:1,38:"G4V"
632:"Culmia":594,969:3841:0,8:NA:0,47:"K6V"
1821:"New Capetown":362,678:4337:0,6:NA:0,39:"K5V"
3002:"Novgorod":1209,539:3047:0,4:0,11:0,02:"M0V"
1984:"Paran":585,85:2690:0,1:0,38:0,07:"M2V"
1666:"Melilla":572,121:4603:0,6:0,93:0,26:"K2V"
3047:"Caesar's Crown":665,716:4039:0,6:0,87:NA:"K2V"
581:"Columbine":353,98:4077:0,5:0,94:0,23:"K6V"
1181:"Illiushin":450,474:3323:0,2:0,67:0,05:"M1V"
1736:"Mogyorod":433,593:4359:0,7:0,95:0,39:"K5V"
2907:"Independence":508,458:2765:0,3:0,28:0,02:"M2V"
1328:"Kent":704,97:3850:0,7:0,72:0,24:"K5V"
1505:"Lockton":453,745:3800:0,7:0,92:0,42:"K6V"
2922:"Siendou":313,183:2930:0,1:0,52:0,07:"M3V"
865:"Fetsund":507,533:NA:0,1:0,18:0,06:"M3V"
1866:"Niangol":446,206:4049:0,7:0,79:0,15:"K3V"
510:"Ceuta":574,553:3003:0,3:0,57:0,02:"M3V"
2080:"Purvo":265,626:2541:0,3:0,19:0,03:"M2V"
761:"Dyfed":248,172:2891:0,2:0,35:NA:"M3V"
2368:"Sodus":294,484:5661:0,9:0,98:1,45:"G2V"
2733:"Wedderborg":479,88:2412:0,3:0,68:0,04:"M6V"
254:"Bannerhoft":620,134:4227:0,7:0,94:0,51:"K2V"
549:"Cholame":204,807:4042:0,7:0,81:NA:"K5V"
2018:"Petrolia":316,046:2530:0,3:0,33:0,03:"M8V"
92:"Alrescha":97,906:2402:0,2:0,3:0,05:"M2V"
2060:"Praxton":563,038:2833:0,3:0,62:0,06:"M6V"
1021:"Gurnet":249,28:3403:0,4:0,46:0,05:"M2V"
2159:"Roadside":412,643:2758:0,4:0,66:0,01:"M2V"
2296:"Shaul Khala":256,784:2925:0,2:0,07:0,05:"M5V"
1220:"Ito":275,684:4095:0,5:0,76:0,32:"K3V"
2702:"Vorarlberg":304,652:4395:0,8:0,94:0,48:"K2V"
157:"Apostica":166,39:3734:0,5:0,75:NA:"K6V"
1981:"Paracale":237,535:4614:0,7:0,74:0,15:"K3V"
2145:"Restitution":401,265:2835:0,2:0,61:0,04:"M2V"
941:"Gatineau":383,366:2489:0,2:0,42:0,05:"M8V"
1982:"Paradise":271,17:4352:0,7:0,75:0,23:"K3V"
1794:"Nam Dinh":260,125:2805:0,4:0,36:0,02:"M2V"
65:"Alexandria":129,525:2553:0,3:0,14:0,04:"M1V"
331:"Birqash":383,362:5744:1:1,1:0,6:"G2V"
2285:"Seuta Bimyeong":447,048:5397:1:1,1:0,79:"G5V"
1390:"Kolobrzeg":137,987:2431:0,1:0,52:0,05:"M0V"
416:"Buena":402,015:NA:0,8:0,83:0,39:"K0V"
1859:"New Wessex":114,107:5619:1:1,08:1,12:"G2V"
456:"Campbelton":202,328:2551:0,4:0,14:0,01:"M6V"
981:"Gorgon":609,188:2400:0,4:0,55:0,03:"M8V"
1362:"Kirkenlaard":201,043:2499:0,3:0,45:0,05:"M4V"
2584:"Trimaldix":586,71:5523:0,8:1,13:0,75:"G2V"
2430:"Suk":257,777:3264:0,2:0,09:0,01:"M2V"
1530:"Lucknow":344,91:3351:0,3:NA:0,02:"M2V"
1901:"Novaya Zemlya":257,388:2878:0,4:0,08:0,04:"M3V"
1261:"Jorvikland":372,77:2516:0,2:0,32:0,08:"M7V"
1518:"Lorkdal":543,522:2698:0,3:0,16:NA:"M5V"
3054:"Joradian Cluster":1872,535:4438:0,5:0,78:0,56:"K2V"
2732:"Weatogue":293,765:3096:0,4:0,3:0,03:"M3V"
1708:"Milos":232,493:5221:0,9:1:0,86:"G5V"
843:"Fallen Stars":480,703:3845:0,7:0,78:0,38:"K5V"
944:"Genf":191,789:3948:0,6:0,77:0,49:"K5V"
1438:"Labouchere":264,076:2663:0,3:0,37:0,01:"M5V"
113:"Amber":471,531:4236:0,5:0,81:0,26:"K5V"
2009:"Pentvar":328,657:3005:0,4:0,1:0,05:"M4V"
970:"Glitnir":647,221:2660:0,1:0,18:0,06:"M2V"
2022:"Pherkad":222,22:4066:0,7:NA:0,18:"K3V"
1410:"Krakatau":349,279:5208:1:1,12:1,2:"G5V"
3010:"Chaine Cluster":615,431:2847:0,3:0,65:0,06:"M1V"
2828:"Zebrenaski":304,234:3239:0,3:0,19:NA:"M1V"
2096:"Quimberton":368,905:2749:0,2:0,51:0,04:"M2V"
66:"Alfirk":743,454:3202:0,2:0,2:0,08:"M3V"
1225:"Jaboatao":525,95:2757:0,2:0,44:0,07:"M2V"
2544:"Tigress":80,316:4006:0,6:0,8:0,1:"K7V"
2359:"Slocum":78,186:2476:0,4:0,15:0,06:"M8V"
2558:"Togura":271,847:3529:0,1:NA:0,04:"M1V"
2178:"Rosepine":584,626:5453:0,9:1,08:1,22:"G2V"
1907:"Nukus":320,607:4321:0,6:0,95:0,31:"K2V"
2084:"Qanatir":456,322:3049:0,4:0,29:0,06:"M2V"
1301:"Kashilla":201,159:2643:0,1:0,65:0,07:"M2V"
1819:"New Caledonia":409,831:4430:0,5:0,73:0,13:"K3V"
660:"Dansur":323,89:NA:0,3:0,68:0,04:"M4V"
437:"Caldrea":196,249:3235:0,2:0,6:0,04:"M3V"
2770:"Wolof":337,413:4180:0,7:0,76:0,11:"K5V"
1227:"Jacobabad":496,67:2400:0,1:0,64:0,06:"M2V"
999:"Great Gorge":560,312:2549:0,3:0,61:0,02:"M5V"
2163:"Rochers":278,92:4005:0,7:0,88:0,42:"K1V"
1319:"Keid":10,59:2960:0,2:0,54:0,06:"M2V"
658:"Daniels":232,667:4563:0,5:0,92:0,43:"K0V"
1632:"Mavegh":464,253:NA:0,4:0,2:0,08:"M1V"
2829:"Zebuluraskai":671,835:4018:0,7:0,92:0,59:"K2V"
411:"Bryceland":418,23:NA:0,8:0,94:0,6:"K3V"
1286:"Kamenz":311,182:4659:0,7:NA:0,11:"K0V"
2323:"Shubuta":476,097:2989:0,4:NA:0,02:"M0V"
2127:"Redondo":502,369:2743:0,3:0,26:0,07:"M4V"
2075:"Propus":184,226:2705:0,3:0,44:0,06:"M1V"
3022:"Ghent":1183,486:2435:0,1:0,1:0,01:"M8V"
854:"Fathepur":358,295:5544:1:1:0,99:"G4V"
2321:"Shitara":96,549:2753:0,4:NA:0,05:"M3V"
1145:"Hsien":54,63:3259:0,3:0,28:0,07:"M2V"
1040:"Hall":46,401:2919:0,4:0,23:0,02:"M4V"
1517:"Loric":233,599:2740:0,4:0,26:0,07:"M2V"
724:"Dneiper":525,276:2609:0,1:0,09:0,03:"M1V"
1343:"Ki Zoban":465,272:2400:0,1:0,28:NA:"M8V"
1931:"Olafsvik":297,219:NA:0,2:0,47:0,05:"M1V"
2884:"Belle Isle":634,303:NA:0,4:0,66:NA:"M0V"
1635:"Mayenne":598,071:3852:0,8:0,93:0,31:"K4V"
2329:"Sidon":500,214:2632:0,2:0,48:0,05:"M5V"
2268:"Sebha":590,961:3639:0,2:0,18:0,07:"M0V"
2793:"Yangtze":87,323:2682:0,2:0,52:0,04:"M2V"
2210:"Sakhalin":154,566:3244:0,4:0,57:0,04:"M2V"
1540:"Luxani":497,15:NA:0,4:0,46:0,03:"M4V"
2693:"Vipaava":375,662:2972:0,3:0,32:0,05:"M3V"
2050:"Pondicherry":467,442:2427:0,1:0,08:0,03:"M2V"
1316:"Kazu":377,985:5542:1:0,97:0,7:"G4V"
906:"Fugeres":594,875:4128:0,6:0,9:0,24:"K6V"
2245:"Sartu":453,73:2853:0,4:0,43:0,06:"M1V"
2468:"Talisker":133,4:3042:0,4:0,61:0,07:"M4V"
1812:"New Abilene":456,224:2509:0,2:0,23:0,06:"M7V"
539:"Chillon":333,085:NA:0,2:0,24:0,01:"M4V"
1445:"Laiaka":114,298:2771:0,2:0,2:0,06:"M5V"
1198:"Ingonish":355,186:2442:0,3:0,68:0,03:"M7V"
2913:"Micros":564,446:3804:0,7:0,94:0,19:"K6V"
1871:"Niles":416,228:2487:0,4:NA:0,06:"M8V"
344:"Blommestein":758,27:5257:1:1,06:1,26:"G4V"
306:"Berenson":72,441:2444:0,3:0,47:0,05:"M5V"
2403:"Steeles":324,294:4255:0,6:0,8:0,5:"K5V"
667:"Davisville":482,089:3907:0,8:0,86:NA:"K6V"
1568:"Maisons":346,154:2924:0,3:0,57:0,05:"M5V"
841:"Fairfield":292,551:3912:0,6:0,8:0,54:"K2V"
722:"Dirk's Gulf":271,335:2548:0,3:0,38:0,03:"M4V"
2016:"Persistence":419,969:2936:0,1:0,22:0,03:"M3V"
1175:"Iijima":288,222:3785:0,6:0,84:0,5:"K5V"
826:"Esztergom":256,264:4789:0,5:0,7:NA:"K2V"
932:"Gan Singh":89,881:2783:0,2:0,42:0,02:"M5V"
265:"Baryshevo":422,225:3801:0,7:0,73:0,6:"K3V"
1157:"Hurik":403,869:4474:0,7:0,82:0,08:"K0V"
2739:"Weisau":400,274:3547:0,3:0,67:0,07:"M1V"
2646:"Valdives":384,506:4718:0,5:0,75:0,5:"K2V"
2012:"Périgueux":352,384:4180:0,5:0,94:0,23:"K5V"
1558:"Maderas":365,382:4523:0,6:0,8:0,14:"K2V"
128:"Andarmax":386,507:4388:0,7:0,94:0,15:"K2V"
2661:"Vard":362,643:4837:0,6:0,9:0,51:"K2V"
1007:"Gronholt":534,209:3174:0,4:0,67:0,06:"M1V"
2540:"Thurrock":389,33:4384:0,6:NA:0,27:"K2V"
2343:"Sindalin":354,593:2491:0,4:NA:0,04:"M6V"
1570:"Maladar":270,582:2862:0,4:0,46:0,02:"M3V"
1691:"Mesartim":116,464:2720:0,4:0,22:0,05:"M5V"
49:"Al Jafr":413,007:2460:0,3:0,19:0,02:"M7V"
1514:"Loongana":314,319:2881:0,4:0,5:0,02:"M3V"
1114:"Hindmarsh":334,723:2778:0,3:0,52:0,01:"M5V"
235:"Badlands":550,708:4440:0,6:0,9:0,47:"K3V"
939:"Garstedt":402,291:3170:0,1:0,5:0,03:"M1V"
1137:"Horsham":387,483:2465:0,2:0,26:0,05:"M5V"
179:"Armington":518,984:2740:0,3:0,35:0,04:"M0V"
1119:"Hobson":355,699:4309:0,5:0,94:0,42:"K0V"
161:"Aquavita":302,529:4628:0,7:0,76:0,11:"K0V"
2735:"Weekapaug":249,877:3722:0,7:0,79:0,14:"K1V"
1774:"Muridox":396,698:5534:0,9:0,97:0,67:"G5V"
1062:"Hartshill":520,448:4265:0,8:0,92:0,21:"K3V"
647:"Dahar":280,144:3969:0,6:0,74:0,34:"K6V"
557:"Ciampino":371,123:2493:0,3:0,67:0,06:"M8V"
715:"Dieudonné":79,556:3602:0,4:0,15:0,01:"M0V"
1762:"Morrill":397,281:4598:0,5:0,73:0,19:"K2V"
1748:"Monthey":507,606:3950:0,7:0,71:0,1:"K7V"
2200:"Sabik":58,472:2538:0,1:0,12:0,04:"M3V"
2894:"Dante":462,311:2467:0,3:0,31:0,08:"M4V"
779:"Ejeda":747,661:5318:1:1,04:1,46:"G2V"
1975:"Palos":134,632:2672:0,3:0,65:0,02:"M1V"
1828:"New Florence":91,356:4455:0,5:0,81:0,36:"K2V"
2477:"Tancredi":439,674:2926:0,1:0,19:0,04:"M0V"
1471:"Leamington":365,139:2707:0,2:0,54:0,08:"M2V"
699:"Devil's Breath":557,736:3066:0,3:NA:0,05:"M4V"
943:"Gei-Fu":207,247:3885:0,5:0,96:0,23:"K3V"
2207:"Saginaw":314,502:2582:0,2:0,66:0,08:"M3V"
3074:"Tadjoura":1010,802:3117:0,4:0,49:0,06:"M3V"
442:"Calish":484,63:5260:0,9:0,99:1,17:"G2V"
2851:"Zvolen":248,425:4446:0,8:0,76:0,33:"K0V"
1125:"Holloway":308,36:4257:0,7:0,8:0,18:"K3V"
1882:"Noatak":393,95:2617:0,1:0,14:0,01:"M5V"
1068:"Hawktor":560,441:2423:0,1:0,08:0,06:"M2V"
1697:"Mickleover":594,626:2516:0,4:0,6:0,03:"M8V"
2345:"Sirdar":334,587:4054:0,5:0,82:0,39:"K6V"
393:"Bringdam":421,5:2556:0,3:0,2:0,03:"M3V"
2614:"Ueda":208,408:2776:0,1:0,54:0,06:"M6V"
2956:"Paxon":1880,977:2762:0,2:0,21:0,07:"M2V"
614:"Covington":390,202:3308:0,3:0,56:0,05:"M0V"
3172:"Khanquest":1223,448:2450:0,4:0,3:0,01:"M8V"
365:"Boondock":591,287:2992:0,2:0,38:0,07:"M1V"
1911:"Nuneaton":364,28:5471:1:0,99:0,81:"G2V"
2374:"Son Hoa":422,626:2712:0,4:0,25:0,05:"M5V"
3098:"Halkidik":1002,899:5772:0,8:1,04:0,84:"G2V"
1561:"Maestu":291,07:3810:0,7:0,92:0,24:"K5V"
3103:"New Delphi":993,684:4104:0,5:0,8:0,35:"K5V"
1153:"Hunan":119,486:4401:0,5:0,95:0,4:"K0V"
2811:"Zalt":706,871:2773:0,4:0,22:0,05:"M2V"
